"source","destination","source_chain","destination_chain","source_address","destination_address","transaction_time_utc","source_lock_time_utc","destination_mint_time_utc","transaction_duration_seconds","transaction_duration_hh_mm_ss","transaction_amount","token_symbol","transaction_amount_usd","refunded_or_not","status","simplified_status","is_insufficient_fee","gas_paid","source_tx_hash","message_id","bridge_protocol","data_source"
"base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","binance : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","base","binance","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:53:39Z","2026-08-31T10:53:39Z","2026-08-31T11:17:20Z","1421","00:23:41","800.112867","axlUSDC","799.963245893871","Not Refunded","executed","received","False","True","0x8fa4909aa06ff7ebb425d023dd350423ecedbda5cfc306a14f34a54ba40fdf04","0x8fa4909aa06ff7ebb425d023dd350423ecedbda5cfc306a14f34a54ba40fdf04-7","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","polygon","axelar","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","2026-08-31T10:53:36Z","2026-08-31T10:53:36Z","2026-08-31T10:53:56Z","20","00:00:20","657.4045524069636","FNX",,"Not Refunded","executed","received","False","True","0x5ff9e1cabcd1f032971a3c4c8c0bf4d09d4a1324e2fa1be901cf272a54a6d9f8","0x5ff9e1cabcd1f032971a3c4c8c0bf4d09d4a1324e2fa1be901cf272a54a6d9f8-6","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo1j5mzxyej2rk0v48exukax7tn2w9axq8jft4ng3","binance : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmosis","binance","osmo1j5mzxyej2rk0v48exukax7tn2w9axq8jft4ng3","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:53:09Z","2026-08-31T10:53:09Z","2026-08-31T10:53:35Z","26","00:00:26","20.850513","axlUSDC","20.846613954069","Pending Refund","executed","received","False","True","243227D8B3DEE91BA1591013B90DD65781F0EB233539967A7C95C99A843E9129","0x15059f8f5b2477161717f2aa148691884867c94f66b2c5573562dd25a90cde16-7095688","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","binance : 0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","polygon","binance","0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","2026-08-31T10:51:24Z","2026-08-31T10:51:24Z","2026-08-31T10:52:00Z","36","00:00:36",,,,"Not Refunded","executed","received","False","True","0xb0c6eb230c2dcd7b68db81f2ced341653d1c772c7aca5b421fe4f8888a79afe8","0xb0c6eb230c2dcd7b68db81f2ced341653d1c772c7aca5b421fe4f8888a79afe8-6","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","binance : 0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","polygon","binance","0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","2026-08-31T10:50:47Z","2026-08-31T10:50:47Z","2026-08-31T10:51:25Z","38","00:00:38",,,,"Not Refunded","executed","received","False","True","0x874574a7c9752cdbd5955a24f268179b12b0a114149d260d3a9e90b9ea6c5db4","0x874574a7c9752cdbd5955a24f268179b12b0a114149d260d3a9e90b9ea6c5db4-19","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","arbitrum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar","arbitrum","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","2026-08-31T10:50:43Z","2026-08-31T10:50:43Z","2026-08-31T10:51:24Z","41","00:00:41","10545176.108868727","AI","0","Pending Refund","executed","received","False","False","126A40E36934EF62E00F8A53727F72B7622E6BC47E02B49516CA112940E23A10","0x126a40e36934ef62e00f8a53727f72b7622e6bc47e02b49516ca112940e23a10-7095687","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","polygon","axelar","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","2026-08-31T10:50:24Z","2026-08-31T10:50:24Z","2026-08-31T10:50:43Z","19","00:00:19","10545176.108868727","AI","10.140388978753693","Not Refunded","executed","received","False","True","0xc831eb4f49392d9f68c184183d8800bf95f415229f0b1d088af4ea58c8ba8dad","0xc831eb4f49392d9f68c184183d8800bf95f415229f0b1d088af4ea58c8ba8dad-5","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance","osmosis","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","2026-08-31T10:49:40Z","2026-08-31T10:49:40Z","2026-08-31T10:49:58Z","18","00:00:18","4853.22","AXL","226.4816748894","Not Refunded","executed","received","False","True","0xd39aa4621c1165150e23141eb01a1bf16e6c531ff497c240d2cd8ba72b3fb4c7","0xd39aa4621c1165150e23141eb01a1bf16e6c531ff497c240d2cd8ba72b3fb4c7-3","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance","osmosis","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","2026-08-31T10:48:20Z","2026-08-31T10:48:20Z","2026-08-31T10:48:37Z","17","00:00:17","4819.73","AXL","229.252385342","Not Refunded","executed","received","False","True","0x2081b17a88ad4e0976b51ff9eb1352da761066d4a6b1762678c53c90d2570718","0x2081b17a88ad4e0976b51ff9eb1352da761066d4a6b1762678c53c90d2570718-3","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance","osmosis","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","2026-08-31T10:47:00Z","2026-08-31T10:47:00Z","2026-08-31T10:47:20Z","20","00:00:20","5073.05","AXL","241.30165247000002","Not Refunded","executed","received","False","True","0xdb86ec52055f80af60b447687b906f52096b34398562a2a6ecfc9ed75b39f8d1","0xdb86ec52055f80af60b447687b906f52096b34398562a2a6ecfc9ed75b39f8d1-3","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","ethereum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar","ethereum","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","2026-08-31T10:45:51Z","2026-08-31T10:45:51Z","2026-08-31T10:47:23Z","92","00:01:32","49595.71845696301","ATH","0","Pending Refund","executed","received","False","False","781236BE4AFF0DA20A3ED33260CD4F150414B231EB6718544F520053DE0C0DB7","0x781236be4aff0da20a3ed33260cd4f150414b231eb6718544f520053de0c0db7-7095681","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","mantle : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","base","mantle","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:41:07Z","2026-08-31T10:41:07Z","2026-08-31T11:04:44Z","1417","00:23:37","0.199439","axlUSDC","0.199398314444","Not Refunded","executed","received","False","True","0x5d93177191783aa55dc64793ae32f584e8a951be9edd02204d11b22a83c50593","0x5d93177191783aa55dc64793ae32f584e8a951be9edd02204d11b22a83c50593-11","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance","osmosis","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","2026-08-31T10:37:31Z","2026-08-31T10:37:31Z","2026-08-31T10:37:51Z","20","00:00:20","5038.96","AXL","239.9265027384","Not Refunded","executed","received","False","True","0xd4b67c52a61dc0f05c35bc431d56835f8a06523bf8d25cab45ab4ecd9f8b9e60","0xd4b67c52a61dc0f05c35bc431d56835f8a06523bf8d25cab45ab4ecd9f8b9e60-3","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"immutable : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","optimism : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","immutable","optimism","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:37:13Z","2026-08-31T10:37:13Z","2026-08-31T10:38:03Z","50","00:00:50","11.874573","axlUSDC","11.872150587108","Not Refunded","executed","received","False","True","0xaaa76d7cb9238418018074ebbb6efec30edfcf88d369929a28a9ce9ec1b979f8","0xaaa76d7cb9238418018074ebbb6efec30edfcf88d369929a28a9ce9ec1b979f8-16","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"binance : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","Ethereum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","binance","Ethereum","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:37:11Z","2026-08-31T10:37:11Z","2026-08-31T10:38:23Z","72","00:01:12","98.839095","axlUSDC","98.81893182462001","Not Refunded","executed","received","False","True","0x5412cc6ab618b824742623ccf0fc9656e67c40d253078d41e27917274b20afd8","0x5412cc6ab618b824742623ccf0fc9656e67c40d253078d41e27917274b20afd8-21","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","Arbitrum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","base","Arbitrum","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:36:59Z","2026-08-31T10:36:59Z","2026-08-31T11:04:29Z","1650","00:27:30","55.952491","axlUSDC","55.941076691836","Not Refunded","executed","received","False","True","0x5b4e3d4592356b1e77984d87244fbbc96a79326aa16d125056b8e42c1c70cd3e","0x5b4e3d4592356b1e77984d87244fbbc96a79326aa16d125056b8e42c1c70cd3e-10","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q","base : 0x569594F181ac9AbdE3eBf89954F3D3Af40d63600","osmosis","base","osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q","0x569594F181ac9AbdE3eBf89954F3D3Af40d63600","2026-08-31T10:35:13Z","2026-08-31T10:35:13Z","2026-08-31T10:36:03Z","50","00:00:50","3.285555","axlUSDC","3.28481903568","Pending Refund","executed","received","False","True","3932438392C639A034DB9999E152385D4E6881AC56FE5A475A539DAB59C08CDF","0x0ae546cbb4a6f6b1bfc468e9e3da5884db943ddeb40ba18b0ba145be23dbeec2-7095675","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","Arbitrum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","ethereum","Arbitrum","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:32:23Z","2026-08-31T10:32:23Z","2026-08-31T10:50:54Z","1111","00:18:31","27.22","USDC","27.21390272","Not Refunded","executed","received","False","True","0x2d572d102790dfdc5c5256cd2fe5aadd58cf2fa9da6628c450f621c3cd7d3832","0x2d572d102790dfdc5c5256cd2fe5aadd58cf2fa9da6628c450f621c3cd7d3832-4","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo1ymvkf7cm8ls4pn0wcx4avcludmu6udrlmlyje4","binance : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmosis","binance","osmo1ymvkf7cm8ls4pn0wcx4avcludmu6udrlmlyje4","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:29:34Z","2026-08-31T10:29:34Z","2026-08-31T10:30:05Z","31","00:00:31","0.4999453105708343","axlBNB","341.89260008697073","Pending Refund","executed","received","False","True","FA3F19231C146A7622C8AD3A85860DB38F53DF3FF8A821562FB0FF91CF5D65E9","0xa44ad9af7b2eaa5576f0a444bcd901ae3ec902489c89bb42c753c40d3819d198-7095674","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","immutable : 0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","ethereum","immutable","0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","2026-08-31T10:28:47Z","2026-08-31T10:28:47Z","2026-08-31T10:44:55Z","968","00:16:08",,,,"Not Refunded","executed","received","False","True","0x772312efd6a6853d6e61742a693ea22068dbc188831262bfc139c54f1a9ec858","0x772312efd6a6853d6e61742a693ea22068dbc188831262bfc139c54f1a9ec858-1","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"arbitrum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","arbitrum","axelar","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","2026-08-31T10:28:19Z","2026-08-31T10:28:19Z","2026-08-31T10:45:51Z","1052","00:17:32","49595.71845696301","ATH","246.25166936814358","Not Refunded","executed","received","False","True","0x78956c4586d11c4f34f5bae15a21ed72e37e66a2e1fe96a133dec7f05a8c0366","0x78956c4586d11c4f34f5bae15a21ed72e37e66a2e1fe96a133dec7f05a8c0366-12","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmosis : osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","ethereum","osmosis","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","2026-08-31T10:25:59Z","2026-08-31T10:25:59Z","2026-08-31T10:44:14Z","1095","00:18:15","14.872371","USDC","14.86895035467","Not Refunded","executed","received","False","True","0xb9dff6cab8daa76d51a971f2bc179f093d40801989c3ca0f2350b1e59a2308d6","0xb9dff6cab8daa76d51a971f2bc179f093d40801989c3ca0f2350b1e59a2308d6-19","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmosis","base","osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:24:26Z","2026-08-31T10:24:26Z","2026-08-31T10:25:03Z","37","00:00:37","3.40872","axlUSDC","3.4079359944000003","Pending Refund","executed","received","False","True","D144FBFE8FF1D675B8F059A2B6E9DF0F3A82869563BD62DF19D88826D809AE81","0xbfad68111a05f1612f92c38b54a9e2e6fa740af68580158b85d65c9fcdad2b23-7095651","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","ethereum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar","ethereum","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","2026-08-31T10:22:42Z","2026-08-31T10:22:42Z","2026-08-31T10:23:47Z","65","00:01:05","17777179578.808353","MANYU","0","Pending Refund","executed","received","False","False","BD07C463B9F20BF5752D25706CE2BBFDB9BEFA24E3FEA4EF5CB2CA98FF055CE5","0xbd07c463b9f20bf5752d25706ce2bbfdb9befa24e3fea4ef5cb2ca98ff055ce5-7095650","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","immutable : 0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","ethereum","immutable","0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","2026-08-31T10:22:35Z","2026-08-31T10:22:35Z","2026-08-31T10:38:35Z","960","00:16:00",,,,"Not Refunded","executed","received","False","True","0x664f479d68b334b3d420d08ff9f1f74d46920ca5eaabd9cb6254461af9158705","0x664f479d68b334b3d420d08ff9f1f74d46920ca5eaabd9cb6254461af9158705-1","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"binance : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","binance","axelar","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","2026-08-31T10:22:27Z","2026-08-31T10:22:27Z","2026-08-31T10:22:42Z","15","00:00:15","17777179578.808353","MANYU","101.96990206404472","Not Refunded","executed","received","False","True","0xc2e8098fa9dffe8e006e508a87898a0038cb3013599a95d5d0c467aac435dc78","0xc2e8098fa9dffe8e006e508a87898a0038cb3013599a95d5d0c467aac435dc78-50","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","ethereum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar","ethereum","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","2026-08-31T10:19:39Z","2026-08-31T10:19:39Z","2026-08-31T10:20:23Z","44","00:00:44","4.879688","QNT","0","Pending Refund","executed","received","False","False","70BFA66B0261C784A2E2AFFDFED76AFE8260055453A5C9A2356D94849151B17D","0x70bfa66b0261c784a2e2affdfed76afe8260055453a5c9a2356d94849151b17d-7095622","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","binance : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmosis","binance","osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:18:20Z","2026-08-31T10:18:20Z","2026-08-31T10:18:50Z","30","00:00:30","29.321765","axlUSDC","29.313818801685","Pending Refund","executed","received","False","True","B29804D9E4FB8ABF78FAF1753894A38F406D620D25D9D4F8453B33040FFFBEFE","0x9c86b127de9e0d865bb266191e01f9ad5553cf718842154b85e066adffc3884b-7095593","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","ethereum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar","ethereum","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","2026-08-31T10:17:22Z","2026-08-31T10:17:22Z","2026-08-31T10:18:23Z","61","00:01:01","8.2353","QNT","0","Pending Refund","executed","received","False","False","DD1D7890DC99B926BFF340AF92C3DB8A268BBF4E039676AA12492F897CD7ADDE","0xdd1d7890dc99b926bff340af92c3db8a268bbf4e039676aa12492f897cd7adde-7095592","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"hedera : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","hedera","axelar","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","2026-08-31T10:17:01Z","2026-08-31T10:17:01Z","2026-08-31T10:19:39Z","158","00:02:38","4.879688","QNT","302.7846404","Not Refunded","executed","received","False","True","0x9f4d48408f3cba51e47c27e5836821cf70a3f6ee5cbd44436a1783120d9b9a70","0x9f4d48408f3cba51e47c27e5836821cf70a3f6ee5cbd44436a1783120d9b9a70-6","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis","binance","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","2026-08-31T10:16:49Z","2026-08-31T10:16:49Z","2026-08-31T10:17:10Z","21","00:00:21","5040.503594","AXL","242.30981064270873","Pending Refund","executed","received","False","True","6CD79F9805E6461DC0D2854B6969A2AD9139E73931134FD79CCA3CB81B07FFF1","0x432a360c8691c380eaee5ea00200afb922ea58eda061a28cf50db46bbe8afec0-7095563","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"hedera : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","hedera","axelar","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","2026-08-31T10:14:46Z","2026-08-31T10:14:46Z","2026-08-31T10:17:22Z","156","00:02:36","8.2353","QNT","511.000365","Not Refunded","executed","received","False","True","0x5e70ccceea578c6a1a1006e8dd624462ee824c5e2662491a4883ea32314d8192","0x5e70ccceea578c6a1a1006e8dd624462ee824c5e2662491a4883ea32314d8192-6","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"immutable : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","immutable","base","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:13:15Z","2026-08-31T10:13:15Z","2026-08-31T10:14:03Z","48","00:00:48","9.93515","axlUSDC","9.932705953100001","Not Refunded","executed","received","False","True","0xcea3193b0c5609a562c4dca87996da666d1ccffb5515a143a2556a0b173e4931","0xcea3193b0c5609a562c4dca87996da666d1ccffb5515a143a2556a0b173e4931-11","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","ethereum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar","ethereum","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","2026-08-31T10:13:08Z","2026-08-31T10:13:08Z","2026-08-31T10:14:59Z","111","00:01:51","35602.106295096855","ALVA","0","Pending Refund","executed","received","False","False","2963694C8E1F3E3666811DA2B3A49D0E3F6EC371B3B3C8C193415C23A73BB4A2","0x2963694c8e1f3e3666811da2b3a49d0e3f6ec371b3b3c8c193415c23a73bb4a2-7095562","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis","binance","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","2026-08-31T10:11:15Z","2026-08-31T10:11:15Z","2026-08-31T10:11:40Z","25","00:00:25","5077.367796","AXL","239.6375941150492","Pending Refund","executed","received","False","True","9A44DEEA831B44CB00A4F48C5185CA711C398006604666867579DC074BD710CE","0x8bf6a26935ef46ceb6519ada0f2de5630f7fd59a963c0c5b99a43baaac719f7f-7095556","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"arbitrum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","Polygon : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","arbitrum","Polygon","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T10:10:34Z","2026-08-31T10:10:34Z","2026-08-31T10:33:18Z","1364","00:22:44","0.009589","axlUSDC","0.00958717809","Not Refunded","executed","received","False","True","0x72cc803fda1998e9564e6e5c324fb8892add0749b93578e2ebc292194aa0f9e6","0x72cc803fda1998e9564e6e5c324fb8892add0749b93578e2ebc292194aa0f9e6-26","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
